31.9721||28.4606||21.348||26.8349||25.315||27.828||25.8036||28.3942||27.0117||17.8615||17.89||17.876||17.9456||18.0097||17.8687||
1813.0228||1800.6516||1804.3444||1799.6576||1800.8062||1797.2418||1862.5813||1802.135||1804.4113||1790.4675||1819.7733||1806.2839||1787.7091||1785.4904||1785.1528||
179325.23||179393.58||179554.3||179501.78||180887.56||180399.75||179902.55||179371.16||179271.83||179215.81||179303.4||179703.0||179329.36||179303.16||180470.11||
13.9655||9.1318||6.8665||9.1269||9.0839||9.1311||9.1077||9.0806||9.1494||6.8145||7.1011||7.0866||7.126||6.9187||6.9077||
682.4005||681.5575||693.0962||678.5083||685.5223||689.6117||700.7229||677.0392||695.6875||684.0528||681.1827||686.927||682.7549||693.9924||705.6442||
68493.04||68288.58||68205.96||68153.85||68306.14||68756.28||68703.01||68325.82||68190.266||68233.76||68165.76||68307.86||68296.79||68132.516||68293.3||
0.3374||0.3318||0.339||0.331||0.3387||0.3309||0.2481||0.0485||0.055||0.0269||0.0327||0.0362||0.027||0.0266||0.0266||
0.308||0.2634||0.2631||0.2629||0.263||0.2634||0.2629||0.263||0.263||0.1457||0.0768||0.0763||0.0759||0.0782||0.0976||
0.3755||0.2728||0.2691||0.2627||0.2688||0.2678||0.2632||0.2486||0.2004||0.1793||0.1754||0.1775||0.1719||0.1647||0.1609||
2.1545||0.323||0.3155||0.3155||0.3149||0.3151||0.3152||0.3152||0.3229||0.3155||0.3152||0.131||0.0846||0.0829||0.083||
0.3662||0.3633||0.3606||0.369||0.3599||0.3589||0.3589||0.3588||0.3626||0.3585||0.3022||0.3019||0.3017||0.3016||0.3015||
3.8929||3.6193||3.6339||3.6137||3.6118||3.6135||3.6294||3.6115||3.6222||3.6046||3.6409||3.6117||3.6166||3.8608||3.64||
1.7468||0.8636||0.8775||0.8697||0.8634||0.8687||0.8972||0.8797||0.862||0.859||0.8694||0.6958||0.4656||0.4705||0.4912||
6.8242||2.9453||4.1152||5.588||5.0594||2.887||2.9774||2.8662||3.9831||5.8783||5.2431||5.5809||5.2445||5.5123||5.5476||
46.5891||33.6367||33.1807||32.7537||45.5088||35.8548||33.2361||32.5113||32.8126||33.4653||31.8476||57.8394||36.0436||38.4261||32.3109||
22.6371||15.2509||14.6147||14.5239||21.4312||14.6147||14.791||14.5711||14.5826||14.9955||14.6979||15.1158||14.4692||14.4869||14.6319||
173.1417||171.3468||171.5091||178.8954||173.907||177.1193||176.0971||170.8956||170.7961||174.9222||173.455||173.5789||170.6339||170.6745||173.261||
1721.0715||1713.4668||1720.9503||1721.9252||1719.8195||1715.555||1719.6403||1713.8285||1716.5258||1714.159||1717.5996||1723.2811||1716.4564||1715.1888||1716.6721||
2.2833||0.6371||0.5867||0.5926||0.5839||0.584||0.5979||0.4735||0.5283||0.5239||0.5215||0.5138||0.5194||0.5174||0.5141||
4.1104||3.7961||2.7039||2.7306||2.5907||2.6067||2.552||2.5617||2.5268||2.4407||2.3927||2.379||2.3409||2.4312||2.6467||
24.673||24.8836||26.2784||25.8472||25.4079||23.1674||20.7171||20.1733||20.4695||20.2936||22.0909||20.0798||20.2515||20.3236||20.292||
